Name,Check off the following if they apply to you: ,Additional-Category-1,Additional-Category-2,Additional-Category-3,Additional-Category-4,Describe your experience with online learning and COVID-19 this semester (can be as short as 1-2  sentences)!,Themes
NS,First generation,Low-income,,,,"Online learning during Covid-19 last Spring did not impact me very much at all. This semester, Covid-19 has exacerbated a lot of issues that I've experienced. Also, professors appear to be increasing their workload with the understanding that the amount they are assigning is reasonable when in reality it is not. It is not at all considerate of the time and energy that I have to spend as a student attempting to balance extracurricular activities (including community work) and 15 units nor is it considerate of my needs as a person, I have to do laundry, shower, get my groceries... this semester I've had to constantly sacrifice my self-care for academic issues and when I reach out for support I'm really not getting it. I qualify for DSP but I can't access medical help because the system is overwhelmed. The campus has clearly failed to respond to the fact that Covid-19 has grown worse and they feel that they have responded appropriately because they have adapted technology wise through Zoom. Well the technology fund that they brag so much about never reached back to me about a hotspot. A lot of the basic needs resources and things that make Cal more equitable are not available to students who had to go back home due to high rent. Students who are experiencing a mental health crisis have to wait at least 3 weeks before seeking care. In general, the workload assigned is totally unreasonable and professors deciding not to record their lectures in a pandemic, taking them down after a while, really kills the success of students who are most vulnerable during this pandemic. Especially students who do not know how to communicate their needs or find themselves discouraged because the solutions offered after they ask for help do not help.",
DP,Receive DSP (Disabled Students' Program) accomodations,Transfer,Re-entry student,First generation,Student parent,Overall my experience has been positive with the exception of outside of the classroom I find it somewhat difficult to focus on the lecture from a computer. I like the chat feature of Zoom as I feel students are more willing to us it to express themselves. I miss the campus!,
AZ,None of the above,,,,,"Online learning frequently conflicted with unpredictable events in my area, such as a wildfire, which made it difficult for me to learn at the same pace with the rest of my class. Additionally, the pandemic not only heightened my family's existing anxieties, but also forced me to become the primary emotional and technological support for my family this semester. ",
NC,Receive DSP (Disabled Students' Program) accomodations,Transfer,First generation,Student parent,,"This semester has been really challenging trying to take classes at home and study when I have a son who is in middle school attending school online as well. My oldest son works from home some days so we are all doing our best to thrive in an environment with many distractions. Although it has been tough, we are all doing the best we can given these strange circumstances.",
GL,Receive DSP (Disabled Students' Program) accomodations,Transfer,Re-entry student,First generation,,"My experience with online learning during COVID has been eventful. I have struggled with mental health challenge, family financial crises, and the ability to focus due to heightened racial tensions; and, there have been highlights surrounding research and graduate school pursuits which have given me a reason to push forward. ",
C,Transfer,Re-entry student,First generation,,,"Sometimes I think it is great because I don’t have physically show up to classes, but my personal life stress (not being able to work to support myself, unstable housing, family illness etc) have caused me to fall seriously behind. I don’t how to talk about it because I feel like I’m the only one experiencing this ",
BR,Receive DSP (Disabled Students' Program) accomodations,,,,,"It was overall very difficult to adapt, but I am getting used to it. The hard part is trying to stay active because most of my days consists of sitting, which I don't think is healthy. But then again, doesn't the work force include a lot of sitting? ",
BT,None of the above,,,,,Online learning has been hard this semester because my professors have assigned more work and it feels like there is little structure in my life.,
RN,Receive DSP (Disabled Students' Program) accomodations,Transfer,Re-entry student,First generation,Student parent,It is really difficult.,
GD,Transfer,Re-entry student,First generation,Student parent,,Hate the on-line  learning because the human connection is lost. Technological machines will never be the replacement for what is natural between the human  interaction .,
MS,Receive DSP (Disabled Students' Program) accomodations,Transfer,Re-entry student,,,"I can't focus. I'm interacting and am able to be social over video, but I'm less able to ask for what I need, and I am less able to help my peers who are failing. I am stressed and depressed and disoriented.",
MH,Receive DSP (Disabled Students' Program) accomodations,First generation,,,,"It has been the most power-reducing experience. I thought that this semester would be the moment for professors and the university to showcase community support and empathy, but it has been the semester where being a student of color, first-generation, and low-income weigh heavier than ever before. Having a virtual environment be a window into our worlds during COVID has not only been vulnerable, it's been invasive. Without the acknowledgement of student struggle and inequities playing into a virtual environment, this time has felt so heavy. I think there is something to be said about holding the institution accountable and want to speak on this.",
HP,Transfer,young student/ transfer: 17 years old,Junior,,,"I feel like I'm missing out on the college experience. I've had a non-traditional path to get here but I was really hoping to settle into a ""normal"" educational experience finally. I don't feel like I'm getting that.",
MH,Transfer,First generation,,,,"I have a love-hate relationship with the institution right now, and I have so many thoughts about this semester now that it coming to an end. To start off, my first semester here at Cal pretty rough. Not in terms of material (although I did struggle a bit in that too) but it was rough to stay sane. To say this semester was hard is an understatement. One of the major challenges I experienced this semester was the fact that I had to endure my entire semester remotely. Staying motivated for classes was hard, and finding time to stay off the computer has become harder. To be quite honest, I have made the decision that I will be canceling my enrollment for the next semester. I simply cannot justify paying the full price to be staring at a computer screen for hours on end. My motivation has deteriorated, and I’m holding on by a thread to at least stay afloat these last week of the semester. I am also reentering the workforce because I have to regain the lost money from actually moving up to Berkeley, even though classes were completely remote. The pandemic has ruined half of my time here at Berkeley, and simply cannot do another semester of this.",
LG,None of the above,,,,,I’ve been a workaholic since covid began. My overall life quality hasn’t changed much but I’ve started working at my laptop from sunrise to 7 or 8 pm almost every day and it’s not sustainable. ,
YY,Transfer,,,,,DISASTER! I really want to take classes in real! ,
